Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59900688,Solito,Javier Zamora,"Zamora, Javier",,"=""0593498062""","=""9780593498064""",5,4.48,Hogarth,Hardcover,384,2022,2022,2024/06/20,2024/06/20,,,read,,,,1,0
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",5,4.08,Collins,Hardcover,277,2016,2016,2024/06/04,2024/06/04,,,read,,,,1,0
6282334,Strength in What Remains: A Journey of Remembrance and Forgiveness,Tracy Kidder,"Kidder, Tracy",,"=""1400066212""","=""9781400066216""",5,4.04,Random House,Hardcover,277,2009,2000,2024/05/15,2024/05/15,,,read," - A haunting account of one man's exprience surviving the massacre and genocide in Burundi in the 90s, a country neighboring Rwanda. <br/>- A look into a refugee's expreience in the US<br/>- A recounting of what a few people helping can do for one man, one community, and the world. <br/><br/>Books like this take you into a world you are lucky to never experience in person. ",,,2,0
23167692,Getting There: A Book of Mentors,Gillian Zoe Segal,"Segal, Gillian Zoe",,"=""1419715704""","=""9781419715709""",0,4.09,Abrams Image,Hardcover,208,2015,2015,2024/04/22,2024/04/17,,,read,,,,1,0
13589182,Mastery,Robert Greene,"Greene, Robert",,"=""0670024961""","=""9780670024964""",0,4.26,Viking,Hardcover,318,2012,2012,2024/04/17,2024/01/20,,,read,,,,1,0
72355,Poor Things,Alasdair Gray,"Gray, Alasdair",,"=""0747562288""","=""9780747562283""",5,3.92,Bloomsbury Publishing,Paperback,317,2002,1992,2024/04/02,2024/04/02,,,read,,,,1,0
43306206,The Courage to Be Disliked: A single book can change your life,Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",0,3.93,Allen & Unwin,Paperback,288,2019,2013,2024/04/09,2024/04/09,,,read,,,,1,0
55835474,Nightbitch,Rachel Yoder,"Yoder, Rachel",,"=""0385546815""","=""9780385546812""",0,3.43,Doubleday,Hardcover,256,2021,2021,2024/03/19,2024/03/12,,,read,,,,1,0
180357146,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,"=""0802162177""","=""9780802162175""",5,4.41,Grove Press,Paperback,715,2025,2023,2024/03/11,2024/03/11,,,read,,,,1,0
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,"=""0393355640""","=""9780393355642""",0,4.19,W. W. Norton & Company,Paperback,288,2018,1988,2024/02/28,2024/02/24,,,read,,,,1,0
10260,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard P. Feynman,"Feynman, Richard P.","Jeffrey Robbins, Freeman Dyson","=""""","=""""",0,4.23,Basic Books,Paperback,270,2005,1999,2024/02/20,2024/02/16,,,read,,,,1,0
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0385534264""","=""9780385534260""",0,4.17,Doubleday,Hardcover,352,2023,2023,2024/02/09,2024/02/09,,,read,,,,1,0
193388249,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,"=""0593470834""","=""9780593470831""",5,4.14,Vintage,Paperback,338,2023,2017,2024/01/30,2024/01/30,,,read,,,,1,0
62052300,Quietly Hostile: Essays,Samantha Irby,"Irby, Samantha",,"=""0593315693""","=""9780593315699""",0,3.67,Vintage,Paperback,290,2023,2023,,2024/01/20,to-read,to-read (#3),to-read,,,,0,0
176443380,Interesting Facts about Space,Emily R. Austin,"Austin, Emily R.",,"=""1668014238""","=""9781668014233""",0,3.86,Atria Books,Hardcover,320,2024,2024,,2024/01/20,to-read,to-read (#2),to-read,,,,0,0
59808316,Uncultured: A Memoir,Daniella Mestyanek Young,"Young, Daniella Mestyanek",,"=""1250280117""","=""9781250280114""",0,4.14,St. Martin's Press,Hardcover,339,2022,2022,2024/01/12,2024/01/12,,,read,,,,1,0
63033521,The In-Between: Unforgettable Encounters During Life's Final Moments,Hadley Vlahos,"Vlahos, Hadley",,"=""059349993X""","=""9780593499931""",0,4.50,Ballantine Books,Hardcover,288,2023,2023,2023/12/28,2023/12/28,,,read,,,,1,0
63945340,Terrace Story,Hilary Leichter,"Leichter, Hilary",,"=""0063265818""","=""9780063265813""",0,3.53,Ecco,Hardcover,208,2023,2023,2023/12/08,2023/12/08,,,read,,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,2023/12/05,2023/12/05,,,read,,,,1,0
45892276,You're Not Listening: What You're Missing and Why It Matters,Kate   Murphy,"Murphy, Kate",,"=""1250297192""","=""9781250297198""",5,4.08,Celadon Books,Hardcover,278,2020,2020,2023/11/21,2023/11/21,,,read,,,,1,0
112974860,How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David  Brooks,"Brooks, David",,"=""059323006X""","=""9780593230084""",5,4.05,Random House,Kindle Edition,306,2023,2023,2023/11/09,2023/11/09,,,read,,,,1,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",0,4.47,Harper,Hardcover,560,2022,2022,2023/10/18,2023/10/22,,,read,,,,1,0
60613920,"Of Boys and Men: Why the Modern Male Is Struggling, Why It Matters, and What to Do About It",Richard V. Reeves,"Reeves, Richard V.",,"=""1800750544""","=""9781800750548""",0,4.04,Swift Press,Hardcover,298,2022,2022,,2023/10/07,,,read,,,,1,0
40611510,The Last Lecture,Randy Pausch,"Pausch, Randy",Jeffrey Zaslow,"=""""","=""""",0,4.26,Hachette Books,Kindle Edition,217,2008,2008,,2023/09/29,,,read,,,,1,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,3.96,Penguin Press,Hardcover,406,2023,2023,2023/09/26,2023/09/26,,,read,,,,1,0
18594409,Can't We Talk about Something More Pleasant?,Roz Chast,"Chast, Roz",,"=""1608198065""","=""9781608198061""",5,4.16,Bloomsbury USA,Hardcover,228,2014,2014,2023/09/26,2023/09/26,,,read,,,,1,0
144977,The Tender Bar: A Memoir,J.R. Moehringer,"Moehringer, J.R.",,"=""0786888768""","=""9780786888764""",0,4.00,Hyperion,Paperback,416,2006,2005,,2023/09/15,,,read,,,,1,0
61273768,Pomegranate,Helen Elaine Lee,"Lee, Helen Elaine",,"=""1982171898""","=""9781982171896""",5,4.01,Atria Books,Hardcover,352,2023,2023,2023/09/07,2023/09/07,,,read,,,,1,0
26452130,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast,Barry McDonagh,"McDonagh, Barry",,"=""""","=""""",5,4.29,BMD Publishing,Kindle Edition,244,2015,2015,,2021/06/23,,,read,Practical and compassionate information to help you identify your triggers and physical reactions to anxiety. This book changed my life for the better. ,,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.36,Ecco,Hardcover,368,2022,2022,2023/07/24,2023/07/24,,,read,,,,1,0
52661162,The Searcher,Tana French,"French, Tana",,"=""073522465X""","=""9780735224650""",0,3.80,Viking,Hardcover,451,2020,2020,2023/07/18,2023/07/18,,,read,,,,1,0
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",0,3.87,Knopf Publishing Group,Hardcover,188,2008,2007,2023/06/22,2023/06/23,,,read,,,,1,0
61865476,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie,"Beattie, Melody",,"=""195411821X""","=""9781954118218""",5,4.13,Spiegel & Grau,Paperback,305,2022,1986,2023/06/20,2023/06/20,,,read,,,,1,0
33385438,"The Child Finder (Naomi Cottle, #1)",Rene Denfeld,"Denfeld, Rene",,"=""0062659057""","=""9780062659057""",0,3.95,Harper,Hardcover,274,2017,2017,2023/05/24,2023/05/24,,,read,,,,1,0
58734811,Bittersweet: How Sorrow and Longing Make Us Whole,Susan Cain,"Cain, Susan",,"=""0451499786""","=""9780451499783""",5,3.96,Crown,Hardcover,310,2022,2022,2023/05/18,2023/05/18,,,read,,,,1,0
52346471,"Firekeeper’s Daughter (Firekeeper's Daughter, #1)",Angeline Boulley,"Boulley, Angeline",,"=""""","=""""",0,4.31,"Henry, Holt and Co. (BYR)",Hardcover,496,2021,2021,2023/05/08,2023/05/08,,,read,,,,1,0
37510662,Foe,Iain Reid,"Reid, Iain",,"=""150112742X""","=""9781501127427""",0,3.70,Gallery/Scout Press,Hardcover,261,2018,2018,2023/05/01,2023/05/01,,,read,,,,1,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",0,4.44,Simon & Schuster,ebook,320,2022,2022,2023/04/20,2023/04/20,,,read,,,,1,0
51164936,American Rule: How a Nation Conquered the World but Failed Its People,Jared Yates Sexton,"Sexton, Jared Yates",,"=""1524745715""","=""9781524745714""",5,4.31,Dutton,Hardcover,368,2020,2020,,2023/04/12,,,read,,,,1,0
58587872,I'll Show Myself Out: Essays on Midlife and Motherhood,Jessi Klein,"Klein, Jessi",,"=""0062981595""","=""9780062981592""",5,3.90,Harper,Hardcover,288,2022,2022,2023/03/27,2023/03/27,,,read,"So funny, heart-wrenching, sad, all the feelings. The idea of the hero’s journey is clever and poignant- a cool way to follow the author through her experience. I can’t believe how much I have in common with this complete stranger. Imposter Mom Syndrome isn’t just my experience??? Who knew? Thanks for making me feel like less of a weirdo XO<br/><br/>Also, there were really important messages in the night nurse story. Stop judging and reread. You missed the point. <br/><br/>Can’t wait to read more from this author!",,,1,0
31558644,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,Barbara Oakley,"Oakley, Barbara",,"=""1101982853""","=""9781101982853""",0,3.88,TarcherPerigee ,Paperback,304,2017,2017,2023/03/20,2023/03/20,,,read,,,,1,0
60931,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""0807083690""","=""9780807083697""",0,4.31,Beacon Press,Paperback,288,2004,1979,2023/03/15,2023/03/15,,,read,,,,1,0
2410919,Advancing Your Spirit,Wayne W. Dyer,"Dyer, Wayne W.",Marianne Williamson,"=""1401921760""","=""9781401921767""",0,3.94,Hay House Audio,Audio CD,5,2008,2008,2023/03/06,2023/03/06,,,read,,,,1,0
59314709,Counterfeit,Kirstin Chen,"Chen, Kirstin",,"=""""","=""""",0,3.48,William Morrow,Hardcover,288,2022,2022,2023/03/01,2023/03/01,,,read,,,,1,0
41746324,The Tradition,Jericho Brown,"Brown, Jericho",,"=""1556594860""","=""9781556594861""",0,4.23,Copper Canyon Press,Paperback,77,2019,2019,2023/02/28,2023/02/28,,,read,,,,1,0
36647421,Learning How to Learn: How to Succeed in School Without Spending All Your Time Studying; A Guide for Kids and Teens,Barbara Oakley,"Oakley, Barbara",Terrence J.  Sejnowski,"=""052550446X""","=""9780525504467""",0,4.39,TarcherPerigee,Kindle Edition,255,2018,2018,2023/02/26,2023/02/27,,,read,,,,1,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,2023/02/20,2023/02/20,,,read,,,,1,0
35533431,The Broken Girls,Simone St. James,"James, Simone St.",,"=""""","=""""",5,4.05,Berkley,ebook,336,2018,2018,2023/02/08,2023/02/08,,,read,,,,1,0
40535635,"Brain Body Diet: 40 Days to a Lean, Calm, Energized, and Happy Self",Sara Gottfried,"Gottfried, Sara",,"=""0062655957""","=""9780062655950""",0,3.59,HarperOne,Hardcover,384,2019,2019,2023/01/31,2023/02/04,,,read,,,,1,0
22875479,The Light of the World,Elizabeth Alexander,"Alexander, Elizabeth",,"=""1455599875""","=""9781455599875""",5,4.10,Grand Central Publishing,Hardcover,209,2015,2015,2023/01/11,2023/01/11,,,read,,,,1,0
43848929,Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",4,4.00,"Little, Brown and Company",Hardcover,388,2019,2019,,2021/06/23,,,read,,,,1,0
1141496,101 Ways to Transform Your Life,Wayne W. Dyer,"Dyer, Wayne W.",,"=""140190453X""","=""9781401904531""",5,3.95,Hay House Inc.,Audio CD,56,2004,1995,2022/04/09,2022/04/09,,,read,,,,1,0
60149573,Our Missing Hearts,Celeste Ng,"Ng, Celeste",,"=""0593492544""","=""9780593492543""",0,3.79,Penguin Press,Hardcover,335,2022,2022,2022/12/28,2022/12/28,,,read,,,,1,0
55921247,The Wife Who Got a Life,Tracy Bloom,"Bloom, Tracy",,"=""000843428X""","=""9780008434281""",0,4.15,HarperCollins,Paperback,384,2021,2021,2022/12/26,2022/12/26,,,read,,,,1,0
1963638,The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,"Singer, Michael A.",,"=""""","=""""",0,4.21,New Harbinger Publications,Paperback,183,2007,2007,2022/12/31,2022/12/20,,,read,,,,1,0
32187419,Conversations with Friends,Sally Rooney,"Rooney, Sally",,"=""0451499077""","=""9780451499073""",0,3.74,Hogarth,Kindle Edition,304,2017,2017,2022/12/27,2022/12/20,,,read,,,,1,0
13152194,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,"Strayed, Cheryl",,"=""""","=""""",0,4.15,Vintage,ebook,354,2012,2012,2022/12/24,2022/12/13,,,read,,,,1,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",5,4.06,Knopf,Hardcover,259,2022,2022,2022/12/17,2022/12/09,,,read,,,,1,0
43521918,"Own Your Weird: An Oddly Effective Way for Finding Happiness in Work, Life, and Love",Jason Zook,"Zook, Jason",,"=""0762467177""","=""9780762467174""",0,3.71,Running Press Adult,Hardcover,240,2019,,2022/12/13,2022/12/06,,,read,,,,1,0
31423133,Make Your Bed: Little Things That Can Change Your Life...and Maybe the World,William H. McRaven,"McRaven, William H.",,"=""""","=""""",0,4.01,Hachette Audio,Audible Audio,2,2017,2017,2022/12/05,2022/12/05,,,read,,,,1,0
36503755,Judgement Detox: Release the Beliefs That Hold You Back from Living a Better Life,Gabrielle Bernstein,"Bernstein, Gabrielle",,"=""1788170733""","=""9781788170734""",5,3.77,Hay House UK Ltd,Paperback,240,2018,2018,2022/11/18,2022/11/18,,,read,,,,1,0
10309216,Spirit Junkie: A Radical Road to Self-Love and Miracles,Gabrielle Bernstein,"Bernstein, Gabrielle",,"=""0307887405""","=""9780307887405""",0,3.82,Harmony,Hardcover,272,2011,2011,2022/11/10,2022/11/05,,,read,,,,1,0
50997029,"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Nicole LePera,"LePera, Nicole",,"=""0063012103""","=""9780063012103""",0,4.13,Harper Wave,ebook,320,2021,2021,2022/11/04,2022/11/05,,,read,,,,1,0
35187211,The Polyvagal Theory in Therapy: Engaging the Rhythm of Regulation,Deb Dana,"Dana, Deb",Stephen W. Porges,"=""0393712370""","=""9780393712377""",0,4.35,W. W. Norton & Company,Hardcover,320,2018,2018,2022/11/01,2022/11/01,,,read,,,,1,0
53238858,"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry,"Perry, Bruce D.",Oprah Winfrey,"=""1250223180""","=""9781250223180""",5,4.42,Flatiron Books: An Oprah Book,Hardcover,304,2021,2021,2022/09/20,2022/11/01,,,read,,,,1,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",5,4.07,Knopf,Hardcover,333,2014,2014,2022/06/21,2022/06/21,,,read,,,,1,0
15812553,Running on Empty: Overcome Your Childhood Emotional Neglect,Jonice Webb,"Webb, Jonice",Christine Musello,"=""161448242X""","=""9781614482420""",5,4.18,Morgan James Publishing,Paperback,227,2012,2012,2022/08/10,2022/10/09,,,read,,,,1,0
57047802,"Self-Care for Adult Children of Emotionally Immature Parents: Honor Your Emotions, Nurture Your Self & Live with Confidence",Lindsay C. Gibson,"Gibson, Lindsay C.",,"=""1684039827""","=""9781684039821""",0,3.78,New Harbinger Publications,Paperback,248,2021,2021,2022/07/17,2022/09/21,,,read,,,,1,0
23129659,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson,"Gibson, Lindsay C.",,"=""1626251703""","=""9781626251700""",5,4.36,New Harbinger Publications,Paperback,201,2015,2015,2022/07/06,2022/09/21,,,read,,,,1,0
41949311,Someone Who Will Love You in All Your Damaged Glory,Raphael Bob-Waksberg,"Bob-Waksberg, Raphael",,"=""""","=""""",0,3.99,Knopf,ebook,256,2019,2019,2022/05/20,2022/05/20,,,read,,,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",5,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,,2021/09/17,,,read,"This book gave me the final push in confidence to go back to school, learn to play piano and guitar, and resolve to practice daily anything I wish to have as a long term goal. So incredibly motivating! Share this with the slackers you love. ",,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",0,4.29,Modern Library,Paperback,279,2023,1813,2022/05/13,2022/05/13,,,read,,,,1,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,4.37,G.P. Putnam’s Sons,ebook,384,2018,2018,2022/05/09,2022/05/09,,,read,,,,1,0
55276648,The Reading List,Sara Nisha Adams,"Adams, Sara Nisha",,"=""0063025280""","=""9780063025288""",0,4.06,William Morrow,Hardcover,368,2021,2021,2022/04/25,2022/04/25,,,read,,,,1,0
54831125,Leaving Isn't the Hardest Thing,Lauren  Hough,"Hough, Lauren",,"=""0593080777""","=""9780593080771""",5,3.42,Vintage,Kindle Edition,314,2021,2021,2022/03/31,2022/03/31,,,read,Reads like a diary- so bravely personal. ,,,1,0
6491899,The Vortex: Where the Law of Attraction Assembles All Cooperative Relationships,Esther Hicks,"Hicks, Esther",Jerry Hicks,"=""1401918824""","=""9781401918828""",0,4.36,Hay House Inc.,Paperback,238,2009,2009,,2022/04/09,,,read,Interesting concepts but presented in a way that is more word salad than I care for. Got 15% in and put it down. ,,,1,0
28815322,"The Danish Way of Parenting: What the Happiest People in the World Know About Raising Confident, Capable Kids",Jessica Joelle Alexander,"Alexander, Jessica Joelle",Iben Sandahl,"=""014311171X""","=""9780143111719""",0,4.09,Tarcher,Paperback,208,2016,2014,2022/03/31,2022/03/25,,,read,,,,1,0
27209358,Positive Parenting: An Essential Guide (The Positive Parent Series),Rebecca Eanes,"Eanes, Rebecca",Laura Markham,"=""0143109227""","=""9780143109228""",0,4.14,Tarcher,Paperback,208,2016,2016,2022/03/25,2022/03/25,,,read,,,,1,0
12902549,An Invisible Thread,Laura Schroff,"Schroff, Laura","Alex Tresniowski, Laura Schroff","=""""","=""""",5,4.06,Howard Books/ATRIA Books ,Kindle Edition,260,2011,2010,2022/03/16,2022/03/16,,,read,,,,1,0
44600621,"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Ali Wong,"Wong, Ali",Justin Hakuta,"=""052550883X""","=""9780525508830""",5,3.84,Random House,Hardcover,240,2019,2019,2022/03/14,2022/03/14,,,read,,,,1,0
57717410,The 1619 Project: A New Origin Story,Nikole Hannah-Jones,"Hannah-Jones, Nikole",The New York Times Magazine,"=""0593230574""","=""9780593230572""",5,4.61,One World,Hardcover,590,2021,2019,2022/03/17,2022/03/10,,,read,,,,1,0
57145833,My Body,Emily Ratajkowski,"Ratajkowski, Emily",,"=""1250817862""","=""9781250817860""",0,3.99,Metropolitan Books,Hardcover,239,2021,2021,2022/03/03,2022/03/10,,,read,,,,1,0
